"id","timestamp","detail","level"
78645,"2026-07-02 21:32:10.504571",selected target https://www.play-in.com/en/extension/1323/teenage-mutant-ninja-turtles/cartes/?_rsc=thdsj,INFO
78646,"2026-07-02 21:32:10.508740",unable to create a new instance,WARNING
78647,"2026-07-02 21:32:10.511628",no browser available for 33cc528e-2c74-4da0-9d15-f3464fd353e8,WARNING
78648,"2026-07-02 21:32:10.514616",Ending update loop: 26194,DEBUG
78649,"2026-07-02 21:32:11.255115",Starting update loop: 26195,DEBUG
78650,"2026-07-02 21:32:11.576653",selected target https://www.play-in.com/en/extension/1323/teenage-mutant-ninja-turtles/cartes/?_rsc=thdsj,INFO
78651,"2026-07-02 21:32:11.580305",browser Boisterous Simon selected for 33cc528e-2c74-4da0-9d15-f3464fd353e8,INFO
78652,"2026-07-02 21:32:11.584610",Ending update loop: 26195,DEBUG
78653,"2026-07-02 21:32:12.254910",Starting update loop: 26196,DEBUG
78654,"2026-07-02 21:32:12.502841",no target found,INFO
78655,"2026-07-02 21:32:12.507670",Ending update loop: 26196,DEBUG
